ulver i fåreklær	-3
ulv i fåreklær	-3
spontanabort	-3
utsatte	-2
tjukk	-1
bløffer	-2
nynazistene	-3
nynazister	-3
nynazist	-3
nynazisten	-3
kortsiktig	-1
egoistisk	-2
egoist	-2
egoister	-2
løgn	-3
anmelde	-2
koste	-1
forbannede	-1
ta dere sammen	-2
klapp igjen	-2
hold kjeft	-2
skarpskytter	-1
etterlyste	-2
etterlyst	-2
innstramminger	-1
hundekjøtt	-3
voldelige	-2
ungdomsgjenger	-1
tyrefekter	-1
tullebukk	-3
i hjel	-3
fengselsstraff	-2
grove	-1
stakkars	-1
stakkers	-1
kontrollfrik	-2
flåttvarsel	-2
flått	-2
obligatorisk	-1
brunsneglene	-1
brunsnegler	-1
mobbeoffer	-2
beruset	-3
gruppevoldtok	-4
gruppevoldtekt	-4
maksimumsstraffen	-1
myggen	-1
giftampull	-2
livsfarlig	-1
mobbe	-2
mobberne	-2
mobbere	-2
nektet	-2
rammer	-1
advarer	-1
ligg unna	-1
